NUQFUS;FECHA DE LA MEDICION;NOMBRE DEL LABORATORIO;TIPO DE LABORATORIO;PH;CONDUCTIVIDAD;NITRATOS
1124;2017-06-15T00:00:00.000;IBAL;1;8.06;70;1.5
1122;2017-07-19T00:00:00.000;IBAL;1;8.12;256;2.1
1123;2017-07-19T00:00:00.000;IBAL;1;8.08;150;1.5
1124;2017-07-19T00:00:00.000;IBAL;1;8.01;80;1
1122;2017-08-16T00:00:00.000;IBAL;1;8.27;355;1.2
1123;2017-08-16T00:00:00.000;IBAL;1;8.17;156;1
1124;2017-08-16T00:00:00.000;IBAL;1;8.34;90;0.9
1122;2017-09-13T00:00:00.000;IBAL;1;8.19;266;3.1
1123;2017-09-13T00:00:00.000;IBAL;1;8.2;119;3.3
1124;2017-09-14T00:00:00.000;IBAL;1;7.93;75;1.9
1122;2017-10-18T00:00:00.000;IBAL;1;8.22;283;0.8
1123;2017-10-18T00:00:00.000;IBAL;1;8.17;146;0.7
1124;2017-10-18T00:00:00.000;IBAL;1;8.27;77.4;0.2
1122;2017-11-15T00:00:00.000;IBAL;1;8.34;271;2.8
1123;2017-11-15T00:00:00.000;IBAL;1;8.18;118;1.1
1124;2017-11-15T00:00:00.000;IBAL;1;7.92;80;1.3
1122;2017-12-13T00:00:00.000;IBAL;1;8.24;265;2.6
1123;2017-12-13T00:00:00.000;IBAL;1;8.3;142;0.9
1124;2017-12-13T00:00:00.000;IBAL;1;8.23;73;1.6
1124;2018-01-10T00:00:00.000;IBAL;1;8.32;335;1.1
1122;2018-01-10T00:00:00.000;IBAL;1;8.4;161;1.1
1123;2018-01-10T00:00:00.000;IBAL;1;8.33;87;0.5
1124;2018-02-14T00:00:00.000;IBAL;1;8.23;321;1.5
1122;2018-02-14T00:00:00.000;IBAL;1;8.22;157;1.6
1123;2018-02-14T00:00:00.000;IBAL;1;8.13;90;1.3
1124;2018-03-14T00:00:00.000;IBAL;1;8.4;341;
1122;2018-03-14T00:00:00.000;IBAL;1;8.57;148;
1123;2018-03-14T00:00:00.000;IBAL;1;8.33;81;
1124;2018-04-18T00:00:00.000;IBAL;1;8.27;251;2.8
1122;2018-04-18T00:00:00.000;IBAL;1;8.3;145;1.2
1123;2018-04-18T00:00:00.000;IBAL;1;7.91;81;1.5
1124;2018-05-16T00:00:00.000;IBAL;1;8.08;196;
1122;2018-05-16T00:00:00.000;IBAL;1;8.1;133;
1123;2018-05-16T00:00:00.000;IBAL;1;8.19;78;
1124;2018-06-13T00:00:00.000;IBAL;1;8.2;188;
1122;2018-06-13T00:00:00.000;IBAL;1;8.23;129;
1123;2018-06-13T00:00:00.000;IBAL;1;8.11;73;
1124;2018-07-18T00:00:00.000;IBAL;1;8.05;282;0.6
1122;2018-07-18T00:00:00.000;IBAL;1;8.04;139;0.3
1123;2018-07-18T00:00:00.000;IBAL;1;8.16;78;0.8
1124;2018-08-15T00:00:00.000;IBAL;1;8.16;223;2
1122;2018-08-15T00:00:00.000;IBAL;1;8.18;139;1
1123;2018-08-15T00:00:00.000;IBAL;1;8.01;125;0.8
1124;2018-09-12T00:00:00.000;IBAL;1;8.17;301;1.9
1122;2018-09-12T00:00:00.000;IBAL;1;8.26;145;0.5
1123;2018-09-12T00:00:00.000;IBAL;1;8.12;82;0.5
1122;2018-10-17T00:00:00.000;IBAL;1;8.12;313;1
1123;2018-10-17T00:00:00.000;IBAL;1;8.08;155;0.7
1124;2018-10-17T00:00:00.000;IBAL;1;8.11;88;1.5
1122;2018-11-14T00:00:00.000;IBAL;1;8.12;383;0.5
1123;2018-11-14T00:00:00.000;IBAL;1;8.28;150;0.9
1124;2018-11-14T00:00:00.000;IBAL;1;8.43;86.7;1.2
1122;2018-12-12T00:00:00.000;IBAL;1;8.39;319;1.3
1123;2018-12-12T00:00:00.000;IBAL;1;8.5;151;0.7
1124;2018-12-12T00:00:00.000;IBAL;1;8.14;90;0.8
1124;2019-01-16T00:00:00.000;IBAL;1;8.33;366;0.8
1122;2019-01-16T00:00:00.000;IBAL;1;8.25;155;0.8
1123;2019-01-16T00:00:00.000;IBAL;1;8.19;89;1
1124;2019-02-21T00:00:00.000;IBAL;1;8.24;329;2
1122;2019-02-21T00:00:00.000;IBAL;1;8.22;138;1
1123;2019-02-21T00:00:00.000;IBAL;1;8.18;79.3;1.6
1124;2019-03-20T00:00:00.000;IBAL;1;8.15;284;1.1
1122;2019-03-20T00:00:00.000;IBAL;1;8.22;122;0.6
1123;2019-03-21T00:00:00.000;IBAL;1;8.16;66;0.8
1124;2019-04-24T00:00:00.000;IBAL;1;8.02;288;0.4
1122;2019-04-24T00:00:00.000;IBAL;1;7.8;125.3;0.6
1123;2019-04-24T00:00:00.000;IBAL;1;8.09;69.1;0.7
1124;2019-05-29T00:00:00.000;IBAL;1;7.82;234;0.1
1122;2019-05-29T00:00:00.000;IBAL;1;7.76;120;1
1124;2019-06-19T00:00:00.000;IBAL;1;7.67;246;1.6
1122;2019-06-19T00:00:00.000;IBAL;1;7.62;125;2
1123;2019-06-19T00:00:00.000;IBAL;1;7.91;67.9;1.2
1124;2019-07-17T00:00:00.000;IBAL;1;7.77;239;2.8
1122;2019-07-17T00:00:00.000;IBAL;1;7.73;128;1
1123;2019-07-17T00:00:00.000;IBAL;1;8.48;70;2.5
1124;2019-08-14T00:00:00.000;IBAL;1;7.95;371;1.4
1122;2019-08-14T00:00:00.000;IBAL;1;7.77;166;0.7
1123;2019-08-14T00:00:00.000;IBAL;1;8.22;89.8;1
1124;2019-09-27T00:00:00.000;IBAL;1;7.86;269;2.2
1122;2019-09-25T00:00:00.000;IBAL;1;8.17;161;0.4
1123;2019-09-25T00:00:00.000;IBAL;1;8.2;87;0.6
1124;2019-10-17T00:00:00.000;IBAL;1;7.91;274;1.2
1122;2019-10-17T00:00:00.000;IBAL;1;7.72;147;2.6
1123;2019-10-17T00:00:00.000;IBAL;1;7.45;78;2.8
1124;2019-11-13T00:00:00.000;IBAL;1;7.9;371;2.3
1122;2019-11-13T00:00:00.000;IBAL;1;7.93;228;1.6
1123;2019-11-13T00:00:00.000;IBAL;1;8.11;126;1.6
1123;2019-12-18T00:00:00.000;IBAL;1;7.98;360;1.6
1123;2019-12-18T00:00:00.000;IBAL;1;7.8;190;0.3
1123;2019-12-18T00:00:00.000;IBAL;1;7.76;99;2.9
1124;2020-05-22T00:00:00.000;IBAL;1;8.4;372.000;2.8
1122;2020-05-22T00:00:00.000;IBAL;1;8.33;173.000;2.5
1123;2020-05-22T00:00:00.000;IBAL;1;7.95;85.000;1
1124;2020-06-10T00:00:00.000;IBAL;1;8.12;336.000;1.2
1122;2020-06-10T00:00:00.000;IBAL;1;8;152.000;0.8
